episode_id,series_id,seasonNumber,episodeNumber,titleType_episode,primaryTitle_episode,originalTitle_episode,isAdult_episode,startYear_episode,endYear_episode,runtimeMinutes_episode,genres_episode,averageRating,numVotes,titleType_series,primaryTitle_series,originalTitle_series,isAdult_series,startYear_series,endYear_series,runtimeMinutes_series,genres_series
tt0177842,tt0096697,7,6,tvEpisode,Treehouse of Horror VI,Treehouse of Horror VI,0,1995,,30,"Animation,Comedy",8.6,1852,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763040,tt0096697,12,1,tvEpisode,Treehouse of Horror XI,Treehouse of Horror XI,0,2000,,30,"Animation,Comedy",7.7,1224,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763041,tt0096697,14,1,tvEpisode,Treehouse of Horror XIII,Treehouse of Horror XIII,0,2002,,30,"Animation,Comedy",7.7,1125,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763042,tt0096697,3,3,tvEpisode,When Flanders Failed,When Flanders Failed,0,1991,,30,"Animation,Comedy",8.2,1887,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0764185,tt0096697,4,14,tvEpisode,Brother from the Same Planet,Brother from the Same Planet,0,1993,,30,"Animation,Comedy",8.2,1693,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0765966,tt0096697,12,20,tvEpisode,Children of a Lesser Clod,Children of a Lesser Clod,0,2001,,30,"Animation,Comedy",7.3,978,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0766139,tt0096697,12,21,tvEpisode,Simpsons Tall Tales,Simpsons Tall Tales,0,2001,,30,"Animation,Comedy",7.1,1021,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0766140,tt0096697,2,20,tvEpisode,The War of the Simpsons,The War of the Simpsons,0,1991,,30,"Animation,Comedy",7.9,1784,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767438,tt0096697,2,8,tvEpisode,Bart the Daredevil,Bart the Daredevil,0,1990,,23,"Animation,Comedy",8.4,2158,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767439,tt0096697,11,17,tvEpisode,Bart to the Future,Bart to the Future,0,2000,,30,"Animation,Comedy",7,1183,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767440,tt0096697,2,22,tvEpisode,Blood Feud,Blood Feud,0,1991,,30,"Animation,Comedy",8,1770,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767441,tt0096697,11,18,tvEpisode,Days of Wine and D'oh'ses,Days of Wine and D'oh'ses,0,2000,,30,"Animation,Comedy",7.4,1041,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767442,tt0096697,2,6,tvEpisode,Dead Putting Society,Dead Putting Society,0,1990,,30,"Animation,Comedy",8,1962,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767443,tt0096697,2,13,tvEpisode,Homer vs. Lisa and the 8th Commandment,Homer vs. Lisa and the 8th Commandment,0,1991,,23,"Animation,Comedy",8,1899,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767444,tt0096697,11,20,tvEpisode,Last Tap Dance in Springfield,Last Tap Dance in Springfield,0,2000,,30,"Animation,Comedy",7.3,1053,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0763039,tt0096697,9,5,tvEpisode,The Cartridge Family,The Cartridge Family,0,1997,,30,"Animation,Comedy",8.3,1514,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0767445,tt0096697,2,14,tvEpisode,Principal Charming,Principal Charming,0,1991,,23,"Animation,Comedy",7.5,1808,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0768553,tt0096697,3,16,tvEpisode,Bart the Lover,Bart the Lover,0,1992,,30,"Animation,Comedy",8.3,1799,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0768554,tt0096697,3,19,tvEpisode,Dog of Death,Dog of Death,0,1992,,30,"Animation,Comedy",7.8,1642,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
tt0768555,tt0096697,3,15,tvEpisode,Homer Alone,Homer Alone,0,1992,,30,"Animation,Comedy",8.1,1677,tvSeries,The Simpsons,The Simpsons,0,1989,,22,"Animation,Comedy"
