tconst,ordering,nconst,category,job,characters
tt0096697,10,nm0370788,actress,,"[""Milhouse Van Houten"",""Jimbo Jones"",""Rod Flanders""]"
tt0096697,1,nm0144657,actor,,"[""Homer Simpson"",""Grampa Simpson"",""Barney Gumble""]"
tt0096697,2,nm0004813,actress,,"[""Bart Simpson"",""Nelson Muntz"",""Ralph Wiggum""]"
tt0096697,3,nm0733427,actor,,"[""Ned Flanders"",""Principal Skinner"",""Lenny""]"
tt0096697,4,nm0001413,actress,,"[""Marge Simpson"",""Patty Bouvier"",""Selma Bouvier""]"
tt0096697,5,nm0000985,writer,creator,
tt0096697,6,nm0004981,writer,creator,
tt0096697,7,nm0800376,writer,creator,
tt0096697,8,nm0810379,actress,,"[""Lisa Simpson"",""Grandma Flanders"",""'Share my locker'""]"
tt0096697,9,nm0000279,actor,,"[""Moe Szyslak"",""Chief Wiggum"",""Carl""]"
tt0101178,10,nm0109889,actor,,"[""Player"",""Singer""]"
tt0101178,1,nm0471136,actor,,"[""Ren Höek"",""Mr. Horse"",""Ren""]"
tt0101178,2,nm0921942,actor,,"[""Stimpson J. Cat"",""Ren Höek"",""Stimpy""]"
tt0101178,3,nm0670332,actor,,"[""Muddy Mudskipper"",""George Liquor"",""Fire Captain""]"
tt0101178,4,nm0153719,actress,,"[""Wife"",""Baby"",""Beach babes""]"
tt0101178,5,nm0131968,writer,creator,
tt0101178,6,nm0808723,actor,,"[""Abner"",""Dogcatcher"",""Mr. President""]"
tt0101178,7,nm0909088,actor,,"[""The Pillow"",""The Tooth Beaver""]"
tt0101178,8,nm0141659,actor,,"[""Wilbur Cobb"",""Wilbur J. Cobb"",""Old Geezer""]"
tt0101178,9,nm0654365,actor,,"[""Powdered Toast Man"",""Announcer"",""Charles Globe""]"
tt0105950,10,nm3042755,actor,,"[""Additional Voices"",""Teacher""]"
tt0105950,1,nm0431918,actor,,"[""Beavis"",""Butt-Head"",""David Van Driessen""]"
tt0105950,2,nm1073536,actor,,"[""Additional Voices""]"
tt0105950,3,nm0003249,actor,,"[""Doctor"",""Additional Voices"",""Cop""]"
tt0105950,4,nm0334935,actress,,"[""Daria Morgendorffer"",""Cassandra"",""Mrs. Stevenson""]"
tt0105950,5,nm0585191,actor,,"[""Todd Ianuzzi"",""Maxi-Mart Clerk"",""Reporter""]"
tt0105950,6,nm0919498,actor,,"[""Stewart Stevenson""]"
tt0105950,7,nm1087627,actress,,"[""Additional Voices""]"
tt0105950,8,nm0621994,actress,,"[""Additional Voices"",""Elevator Woman"",""Lawyer""]"
tt0105950,9,nm0714356,actor,,"[""Earl"",""Foul-mouth Bus Driver"",""Mr. Manners""]"
tt0108937,10,nm1503494,actor,,"[""Chad Ghostal""]"
tt0108937,1,nm0522944,actor,,"[""Space Ghost"",""Tad Ghostal"",""Announcer""]"
tt0108937,2,nm0188554,actor,,"[""Moltar"",""Zorak"",""Raymond""]"
tt0108937,3,nm0581258,actor,,"[""Brak"",""Lokar"",""Dr. Nightmare""]"
tt0108937,4,nm0932302,actor,,"[""Passenger 12"",""Singer"",""Bizarro Santa Claus""]"
tt0108937,5,nm0494020,writer,creator,
tt0108937,6,nm0428586,writer,creator,
tt0108937,7,nm7499762,actor,,"[""Tansut"",""Announcer"",""Bill Manspeaker""]"
tt0108937,8,nm0855201,actress,,"[""Black Widow"",""Herself""]"
tt0108937,9,nm1859590,actor,,"[""Birdman""]"
tt0118298,10,nm0413670,actress,,"[""Jodie Abigail Landon"",""Jodie Landon""]"
tt0118298,1,nm0334935,actress,,"[""Daria Morgendorffer""]"
tt0118298,2,nm0393812,actress,,"[""Jane Lane"",""Quinn Morgendorffer"",""Helen Barksdale Morgendorffer""]"
tt0118298,3,nm8814816,actor,,"[""Jake Morgendorffer""]"
tt0118298,4,nm0528717,actor,,"[""Sick, Sad World Announcer"",""'Sick, Sad World' Announcer""]"
tt0118298,5,nm0251550,writer,creator,
tt0118298,6,nm0506879,writer,creator,
tt0118298,7,nm0581631,actress,,"[""Brittany Taylor"",""Sandi Griffin"",""Andrea""]"
tt0118298,8,nm0860443,actor,,"[""Kevin Thompson"",""Mr. Anthony DeMartino"",""Jamie White""]"
tt0118298,9,nm0016474,actress,,"[""Tiffany Blum-Deckler"",""Ms. Janet Barch"",""Female Detective""]"
tt0118375,10,nm0306832,actress,,"[""Nancy Hicks Gribble"",""Didi Hill"",""Reverend Karen Stroup""]"
tt0118375,1,nm0431918,actor,,"[""Hank Hill"",""Boomhauer"",""Stuart Dooley""]"
tt0118375,2,nm0001562,actress,,"[""Peggy Hill"",""Additional Voices""]"
tt0118375,3,nm0781899,actress,,"[""Bobby Hill"",""Clark Peters"",""Additional Voices""]"
tt0118375,4,nm0362548,actor,,"[""Dale Gribble"",""Additional Voices"",""Announcer""]"
tt0118375,5,nm0199948,writer,creator,
tt0118375,6,nm0740535,actor,,"[""Bill Dauterive"",""Buck Strickland"",""Additional Voices""]"
tt0118375,7,nm0005261,actress,,"[""Luanne Platter"",""Joseph Gribble"",""Asian Girl""]"
tt0118375,8,nm0403947,actor,,"[""Kahn Souphanousinphone, Sr."",""Cotton Hill"",""Joe Jack""]"
tt0118375,9,nm0379114,actor,,"[""Buckley"",""Eustis Miller"",""Jimmy Witchard""]"
tt0121955,10,nm0074834,actress,,"[""Liane Cartman"",""Mayor McDaniels"",""Sheila Broflovski""]"
tt0121955,1,nm0005295,actor,,"[""Stan Marsh"",""Eric Cartman"",""Randy Marsh""]"
tt0121955,2,nm0001778,actor,,"[""Kyle Broflovski"",""Kenny McCormick"",""Butters""]"
tt0121955,3,nm0005002,actor,,"[""Chef""]"
tt0121955,4,nm0551065,actress,,"[""Sheila Broflovski"",""Linda Stotch"",""Various Characters""]"
tt0121955,5,nm0333536,writer,creator,
tt0121955,6,nm0829181,actress,,"[""Sharon Marsh"",""Liane Cartman"",""Wendy Testaburger""]"
tt0121955,7,nm0063872,actor,,"[""Token Black"",""Token Williams"",""Various Characters""]"
tt0121955,8,nm0773791,actress,,"[""Liane Cartman"",""Sharon Marsh"",""Principal Victoria""]"
tt0121955,9,nm0397990,actress,,"[""Bebe Stevens"",""Woman in Park"",""Woman in Street #2""]"
tt0149460,10,nm0379114,actor,,"[""Scruffy"",""Larry"",""Mayor C. Randall Poopenmeyer""]"
tt0149460,1,nm0921942,actor,,"[""Philip J. Fry"",""Dr. Zoidberg"",""Prof. Hubert J. Farnsworth""]"
tt0149460,2,nm0224007,actor,,"[""Bender"",""Sal"",""URL""]"
tt0149460,3,nm0005408,actress,,"[""Turanga Leela"",""Cloberella"",""Lee Lemon""]"
tt0149460,4,nm0534134,actress,,"[""Linda"",""Mom"",""Hattie McDoogal""]"
tt0149460,5,nm0169326,writer,creator,
tt0149460,6,nm0004981,writer,creator,
tt0149460,7,nm0482851,actor,,"[""Hermes Conrad"",""Reverend Preacherbot"",""Ethan 'Bubblegum' Tate""]"
tt0149460,8,nm0866300,actress,,"[""Amy Wong"",""Inez Wong"",""Ruth""]"
