tconst,ordering,nconst,category,job,characters
tt0177842,10,nm0841990,writer,written by,
tt0177842,1,nm0144657,actor,,"[""Homer Simpson"",""Squeaky-Voiced Teen"",""Kodos""]"
tt0177842,2,nm0001413,actress,,"[""Marge Simpson"",""Patty Bouvier"",""Selma Bouvier""]"
tt0177842,3,nm0004813,actress,,"[""Bart Simpson"",""Nelson Muntz""]"
tt0177842,4,nm0810379,actress,,"[""Lisa Simpson""]"
tt0177842,5,nm0026433,director,,
tt0177842,6,nm0592400,director,,
tt0177842,7,nm0004981,writer,creator,
tt0177842,8,nm0000985,writer,creator,
tt0177842,9,nm0800376,writer,creator,
tt0289860,10,nm0830294,writer,written by,
tt0289860,1,nm0431918,actor,,"[""Beavis"",""Butt-Head"",""Tom Anderson""]"
tt0289860,2,nm0334935,actress,,"[""Daria Morgendorffer"",""Mrs. Stevenson"",""Cassandra""]"
tt0289860,3,nm0919498,actor,,"[""Stewart Stevenson""]"
tt0289860,4,nm0003249,actor,,"[""Additional Voices""]"
tt0289860,5,nm0221133,director,segment director,
tt0289860,6,nm0002042,writer,"novel ""A Christmas Carol""",
tt0289860,7,nm0271640,writer,written by,
tt0289860,8,nm1257240,writer,written by,
tt0289860,9,nm0827821,writer,"story ""It's a Wonderful Life""",
tt0348034,10,nm0757017,producer,producer,
tt0348034,1,nm0144657,actor,,"[""Homer Simpson"",""Barney Gumble"",""Elf Moldy""]"
tt0348034,2,nm0001413,actress,,"[""Marge Simpson"",""Patty Bouvier"",""Selma Bouvier""]"
tt0348034,3,nm0004813,actress,,"[""Bart Simpson"",""Ralph Wiggum"",""SNPP employee""]"
tt0348034,4,nm0810379,actress,,"[""Lisa Simpson""]"
tt0348034,5,nm0798899,director,,
tt0348034,6,nm0690347,writer,written by,
tt0348034,7,nm0004981,writer,creator,
tt0348034,8,nm0000985,writer,creator,
tt0348034,9,nm0800376,writer,creator,
tt0394893,1,nm0074834,actress,,"[""Liane Cartman"",""Wendy Testaburger"",""Mrs. Crabtree""]"
tt0394893,2,nm0166620,actress,,"[""Ike Broflovski""]"
tt0394893,3,nm0005295,actor,,"[""Stan Marsh"",""Eric Cartman"",""Officer Barbrady""]"
tt0394893,4,nm0001778,actor,,"[""Kyle Broflovski"",""Kenny McCormick"",""Pip""]"
