episode_id,series_id,seasonNumber,episodeNumber,titleType_episode,primaryTitle_episode,originalTitle_episode,isAdult_episode,startYear_episode,endYear_episode,runtimeMinutes_episode,genres_episode,averageRating,numVotes,Plot,Original_airDT,titleType_series,primaryTitle_series,originalTitle_series,isAdult_series,startYear_series,endYear_series,runtimeMinutes_series,genres_primary,genre_secondary,gener_third
tt0177842,tt0096697,7,6,tvEpisode,Treehouse of Horror VI,Treehouse of Horror VI,0,1995,,30,"Animation,Comedy",8.6,1852,"
 A freak lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.",10/29/1995,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763040,tt0096697,12,1,tvEpisode,Treehouse of Horror XI,Treehouse of Horror XI,0,2000,,30,"Animation,Comedy",7.7,1224,"
 Homer must do one good deed to get into Heaven; Bart and Lisa encounter a witch in a gingerbread house; Super-intelligent dolphins strike back at humanity.",11/1/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763041,tt0096697,14,1,tvEpisode,Treehouse of Horror XIII,Treehouse of Horror XIII,0,2002,,30,"Animation,Comedy",7.7,1125,"
 Homer clones himself with a magic hammock; Zombie cowboys come back from the dead after Springfield bans guns; The Simpsons family take a vacation on an island where Dr. Hibbert can turn people into animals.",11/3/2002,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763042,tt0096697,3,3,tvEpisode,When Flanders Failed,When Flanders Failed,0,1991,,30,"Animation,Comedy",8.2,1887,"
 After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.",10/3/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0764185,tt0096697,4,14,tvEpisode,Brother from the Same Planet,Brother from the Same Planet,0,1993,,30,"Animation,Comedy",8.2,1693,"
 When Bart gets tired of Hole: horrible parenting skills, he enrolled in the ""Bigger Brother"" program where he's assigned a fantastic role model.",2/4/1993,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0765966,tt0096697,12,20,tvEpisode,Children of a Lesser Clod,Children of a Lesser Clod,0,2001,,30,"Animation,Comedy",7.3,978,"
 After a debilitating injury forces him to stay indoors, Homer begins a daycare center.",5/13/2001,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0766139,tt0096697,12,21,tvEpisode,Simpsons Tall Tales,Simpsons Tall Tales,0,2001,,30,"Animation,Comedy",7.1,1021,"
 A hobo tells the Simpsons tall tales on a train ride to Delaware. In the first story, Homer is outcast from society as Paul Bunyan. Then, Lisa travels the country planting trees as Connie Appleseed. Finally, Bart and Nelson raft down the Mississippi as Tom Sawyer and Huck Finn.",5/20/2001,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0766140,tt0096697,2,20,tvEpisode,The War of the Simpsons,The War of the Simpsons,0,1991,,30,"Animation,Comedy",7.9,1784,"
 Homer must decide which is more important: completing counseling to save his marriage or skipping out to catch a legendary catfish. Meanwhile, at home, Bart and Lisa take advantage of Grampa's ignorance of the house rules.",5/2/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767438,tt0096697,2,8,tvEpisode,Bart the Daredevil,Bart the Daredevil,0,1990,,23,"Animation,Comedy",8.4,2158,"
 After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.",12/6/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767439,tt0096697,11,17,tvEpisode,Bart to the Future,Bart to the Future,0,2000,,30,"Animation,Comedy",7,1183,"
 Bart gets a glimpse of the future while the family is on vacation at an Indian casino.",3/19/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767440,tt0096697,2,22,tvEpisode,Blood Feud,Blood Feud,0,1991,,30,"Animation,Comedy",8,1770,"
 Bart saves Mr. Burns's life. But Homer becomes enraged when Mr. Burns doesn't return the favor by sending the Simpsons what he considers to be an appropriate ""thank you"" gift.",7/11/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767441,tt0096697,11,18,tvEpisode,Days of Wine and D'oh'ses,Days of Wine and D'oh'ses,0,2000,,30,"Animation,Comedy",7.4,1041,"
 Homer doesn't like it when Barney quits drinking; Bart and Lisa get into trouble when they enter a photo contest for the new phone book cover.",4/9/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767442,tt0096697,2,6,tvEpisode,Dead Putting Society,Dead Putting Society,0,1990,,30,"Animation,Comedy",8,1962,"
 In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.",11/15/1990,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767443,tt0096697,2,13,tvEpisode,Homer vs. Lisa and the 8th Commandment,Homer vs. Lisa and the 8th Commandment,0,1991,,23,"Animation,Comedy",8,1899,"
 Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.",2/7/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767444,tt0096697,11,20,tvEpisode,Last Tap Dance in Springfield,Last Tap Dance in Springfield,0,2000,,30,"Animation,Comedy",7.3,1053,"
 Lisa has difficulties learning to tap dance; Bart and Milhouse ditch summer camp to spend a week living in the mall.",5/7/2000,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0763039,tt0096697,9,5,tvEpisode,The Cartridge Family,The Cartridge Family,0,1997,,30,"Animation,Comedy",8.3,1514,"
 After a massive soccer riot, Homer purchases a gun to protect the family.",11/2/1997,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0767445,tt0096697,2,14,tvEpisode,Principal Charming,Principal Charming,0,1991,,23,"Animation,Comedy",7.5,1808,"
 After attending a co-worker's wedding, Selma begins to fear she will die alone. However, when Homer tries to set her up with Principal Skinner, he falls for Patty instead.",2/14/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0768553,tt0096697,3,16,tvEpisode,Bart the Lover,Bart the Lover,0,1992,,30,"Animation,Comedy",8.3,1799,"
 After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad. Meanwhile, Marge suggests Homer to start a swear jar to stop him cursing.",2/13/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0768554,tt0096697,3,19,tvEpisode,Dog of Death,Dog of Death,0,1992,,30,"Animation,Comedy",7.8,1642,"
 The Simpsons wind up regretting paying for an expensive surgery for Santa's Little Helper. He then runs away from home, winds up in the animal shelter, and is adopted by Mr. Burns to become an attack dog.",3/12/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0768555,tt0096697,3,15,tvEpisode,Homer Alone,Homer Alone,0,1992,,30,"Animation,Comedy",8.1,1677,"
 While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.",2/6/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0768556,tt0096697,3,12,tvEpisode,I Married Marge,I Married Marge,0,1991,,30,"Animation,Comedy",8.3,1735,"
 As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.",12/26/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0768557,tt0096697,3,14,tvEpisode,Lisa the Greek,Lisa the Greek,0,1992,,30,"Animation,Comedy",8,1671,"
 Homer uses Lisa (and her prognostic skills) to help him bet on football games.",1/23/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0768558,tt0096697,3,9,tvEpisode,Saturdays of Thunder,Saturdays of Thunder,0,1991,,30,"Animation,Comedy",8,1691,"
 After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.",11/14/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0769411,tt0096697,10,8,tvEpisode,Homer Simpson in: 'Kidney Trouble',Homer Simpson in: 'Kidney Trouble',0,1998,,30,"Animation,Comedy",7.3,1249,"
 Homer gets cold feet before a transplant operation which could save Grampa's life.",12/6/1998,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0769412,tt0096697,10,7,tvEpisode,Lisa Gets an 'A',Lisa Gets an 'A',0,1998,,30,"Animation,Comedy",8.1,1322,"
 When Lisa cheats on a test, she has a moral crisis when her perfect score qualifies the school for grant money; Homer adopts a lobster as a pet.",11/22/1998,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0769743,tt0096697,3,11,tvEpisode,Burns Verkaufen der Kraftwerk,Burns Verkaufen der Kraftwerk,0,1991,,30,"Animation,Comedy",8.3,1819,"
 Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.",12/5/1991,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0772625,tt0096697,4,11,tvEpisode,Homer's Triple Bypass,Homer's Triple Bypass,0,1992,,30,"Animation,Comedy",8.7,2008,"
 Years of poor eating habits catch up with Homer when he suffers a massive heart attack. The family can't afford the triple bypass operation he needs from Dr. Hibbert, so they go to a discount quack named Nick Riviera.",12/17/1992,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
tt0773645,tt0096697,5,3,tvEpisode,Homer Goes to College,Homer Goes to College,0,1993,,30,"Animation,Comedy",8.6,2077,"
 When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college.",10/14/1993,tvSeries,The Simpsons,The Simpsons,0,1989,,22,Animation,Comedy,
