,series_id,episode_id,plot,original_air_date
0,tt2861424,tt2169080,"
    A sociopathic scientist drags his innocent grandson on dangerous inter-dimensional adventures.    ",2013-12-02
1,tt2861424,tt3333824,"
    Rick helps Jerry out with the dog.    ",2013-12-09
2,tt2861424,tt3333828,"
    It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.    ",2013-12-16
3,tt2861424,tt3333830,"
    Rick and Morty try to get to the bottom of a mystery.    ",2014-01-13
4,tt2861424,tt3333832,"
    Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.    ",2014-01-20
5,tt2861424,tt3333834,"
    After Rick gives Morty a love potion for prom, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.    ",2014-01-27
6,tt2861424,tt3333836,"
    Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.    ",2014-03-10
7,tt2861424,tt3333838,"
    Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.    ",2014-03-17
8,tt2861424,tt3333840,"
    Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.    ",2014-03-24
9,tt2861424,tt3333846,"
    Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.    ",2014-04-07
10,tt2861424,tt3333854,"
    Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.    ",2014-04-14
11,tt2861424,tt4462494,"
    Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.    ",2015-07-26
12,tt2861424,tt4832254,"
    Rick and Morty try to save a gas life form while Jerry resides in a daycare made for Jerrys.    ",2015-08-02
13,tt2861424,tt4832260,"
    Rick gets emotional. Beth and Jerry get into a fight.    ",2015-08-09
14,tt2861424,tt4832262,"
    The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.    ",2015-08-16
15,tt2861424,tt4832266,"
    Rick and morty must aid Earth after a giant head disrupts the planet, demanding to see a hit song performed.    ",2015-08-23
16,tt2861424,tt4832268,"
    Rick is having trouble with his car and they have to fix it by traveling to the microverse.    ",2015-08-30
17,tt2861424,tt4832272,"
    Rick joins in on some hijinks by transferring his consciousness into teenage ""Tiny Rick."" Beth and Jerry sort out their relationship.    ",2015-09-13
