,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,Unaired Pilot,tt0373732,tt0783324,1,0,,,,,"
  Know what this is about?
 Be the first one to add a plot.
    ",The Boondocks (TV Series 2005–2014),Unaired Pilot
1,The Garden Party,tt0373732,tt0530302,1,1,8.0,300.0,2005-11-06,2005,"
    When tycoon Ed Wuncler invites the Freemans to his garden party, Huey hopes to shock his white wealthy neighbors with his brand of ""the truth"". But things don't go as he planned.    ",The Boondocks (TV Series 2005–2014),The Garden Party
2,The Trial of Robert Kelly,tt0373732,tt0530306,1,2,8.3,273.0,2005-11-13,2005,"
    Huey disagrees with Riley - and apparently most Blacks - regarding the R. Kelly case.    ",The Boondocks (TV Series 2005–2014),The Trial of Robert Kelly
3,Guess Hoe's Coming to Dinner,tt0373732,tt0530300,1,3,8.0,241.0,2005-11-20,2005,"
    Huey and Riley team up to convince Granddad that his new girlfriend is actually a prostitute who is after his money.    ",The Boondocks (TV Series 2005–2014),Guess Hoe's Coming to Dinner
4,Granddad's Fight,tt0373732,tt0530299,1,4,8.5,256.0,2005-11-27,2005,"
    After getting beaten up by the mean and blind Col. Stinkmeaner, a humiliated Granddad wants a rematch.    ",The Boondocks (TV Series 2005–2014),Granddad's Fight
5,A Date with the Health Inspector,tt0373732,tt0530297,1,5,8.5,264.0,2005-12-04,2005,"
    When Tom is wrongfully accused for murder, Huey and Riley enlist the help of Ed III and his friend, Gin Rummy to find the real killer.    ",The Boondocks (TV Series 2005–2014),A Date with the Health Inspector
6,The Story of Gangstalicious,tt0373732,tt0530305,1,6,8.4,228.0,2005-12-11,2005,"
    Riley visits his favorite rapper, Gangstalicious, who's been shot and hospitalized. But is he really a ""gangsta""?    ",The Boondocks (TV Series 2005–2014),The Story of Gangstalicious
7,A Huey Freeman Christmas,tt0373732,tt0530298,1,7,8.2,192.0,2005-12-28,2005,"
    Huey's teacher gives him full creative control over the schools Christmas play.    ",The Boondocks (TV Series 2005–2014),A Huey Freeman Christmas
8,The Real,tt0373732,tt0530304,1,8,8.0,185.0,2006-01-08,2006,"
    Riley convinces Granddad to pretend he is blind so that Xzibit will pimp their ride. Huey is being stalked by a government agent. Or is it just his imagination?    ",The Boondocks (TV Series 2005–2014),The Real
9,Return of the King,tt0373732,tt0757389,1,9,8.9,299.0,2006-01-15,2006,"
    Martin Luther King comes out of a 32-year coma and Huey helps him to readjust. But Dr. King finds that his peaceful philosophy is no longer accepted in post-9/11 America.    ",The Boondocks (TV Series 2005–2014),Return of the King
10,The Itis,tt0373732,tt0530303,1,10,8.3,203.0,2006-01-22,2006,"
    When Granddad and Ed Wuncler open a soul-food restaurant, it ends up having a terrible effect on Woodcrest.    ",The Boondocks (TV Series 2005–2014),The Itis
11,Let's Nab Oprah,tt0373732,tt0760339,1,11,8.3,213.0,2006-02-05,2006,"
    Riley, Ed III and Rummy set out to kidnap Oprah Winfrey and it's up to Huey to stop them.    ",The Boondocks (TV Series 2005–2014),Let's Nab Oprah
12,Riley Wuz Here,tt0373732,tt0763128,1,12,8.3,217.0,2006-02-19,2006,"
    An eccentric art teacher encourages Riley to express himself through graffiti. Huey watches nothing but shows with black people for two weeks to see if it has any negative side effects.    ",The Boondocks (TV Series 2005–2014),Riley Wuz Here
13,Wingmen,tt0373732,tt0768981,1,13,7.6,172.0,2006-03-05,2006,"
    When one of Grandad's army buddies, Moe, dies, he and the boys return home to Chicago for the funeral. On the way there it is revealed that Grandad and Moe had a bad falling out over a girl. Huey is excited to be home in hopes of seeing his old friend Cairo, but finds out that he wants nothing to do with Huey. At the funeral, Grandad is forced into a eulogy, in which he reveals all the bad things Moe had done over the years. But when Grandad sees Moe's wife, the girl they fought over, and sees how ugly she is, he realizes how Moe had been the bigger man trying to ...    ",The Boondocks (TV Series 2005–2014),Wingmen
14,The Block Is Hot,tt0373732,tt0530301,1,14,8.0,177.0,2006-03-12,2006,"
    Jazmine learns a harsh lesson about capitalism when her lemonade stand becomes a subsidiary of Wuncler, Inc.    ",The Boondocks (TV Series 2005–2014),The Block Is Hot
15,The Passion of Ruckus,tt0373732,tt0768980,1,15,8.5,210.0,2006-03-19,2006,"
    Ruckus' message of hating black people in order to get into White Heaven catches on. Huey tries to save a radical who was wrongly convicted of murder from being executed.    ",The Boondocks (TV Series 2005–2014),The Passion of Ruckus
16,...Or Die Trying,tt0373732,tt1119866,2,1,8.7,209.0,2007-10-08,2007,"
    Granddad takes the kids to the movies but has to sneak them in since he refuses to pay the exorbitant prices. Huey tries to sabotage the film, but Uncle Ruckus tries to stop him.    ",The Boondocks (TV Series 2005–2014),...Or Die Trying
17,"Tom, Sarah and Usher",tt0373732,tt1122943,2,2,7.9,180.0,2007-10-15,2007,"
    After Sarah kicks Tom out over an argument about superstar Usher, he turns to the Freemans and A Pimp Named Slickback for help.    ",The Boondocks (TV Series 2005–2014),"Tom, Sarah and Usher"
18,Thank You for Not Snitching,tt0373732,tt1122942,2,3,8.2,147.0,2007-10-22,2007,"
    Riley's natural inclination to never snitch is challenged when he learns Ed Wuncler III and Gin Rummy are behind a series of robberies in Woodcrest, climaxing in the theft of Granddad's car.    ",The Boondocks (TV Series 2005–2014),Thank You for Not Snitching
19,Stinkmeaner Strikes Back,tt0373732,tt0795073,2,4,9.2,270.0,2007-10-29,2007,"
    Colonel Stinkmeaner returns from Hell after making a deal with the Devil, and possesses Tom in order to take revenge on Granddad.    ",The Boondocks (TV Series 2005–2014),Stinkmeaner Strikes Back
20,The Story of Thugnificent,tt0373732,tt1131065,2,5,8.0,175.0,2007-11-05,2007,"
    When rapper Thugnificent moves in across the street, Granddad complains about the non-stop noise and partying, leading Thugnificent to record a new song, ""Eff Granddad.""    ",The Boondocks (TV Series 2005–2014),The Story of Thugnificent
21,Attack of the Killer Kung-Fu Wolf Bitch,tt0373732,tt1143232,2,6,8.2,189.0,2007-11-19,2007,"
    After various failed attempts at meeting women on MySpace, Grandpa Freeman tries one last time and the results look promising, except for the fact that she was raised by wolves and knows a martial art that seems to be extinct.    ",The Boondocks (TV Series 2005–2014),Attack of the Killer Kung-Fu Wolf Bitch
22,Shinin',tt0373732,tt1145582,2,7,7.7,134.0,2007-11-26,2007,"
    A bully steals the chain that signifies Riley's membership in Thugnificent's crew, prompting various attempts by Riley to get it back.    ",The Boondocks (TV Series 2005–2014),Shinin'
23,Ballin',tt0373732,tt1148327,2,8,7.8,129.0,2007-12-03,2007,"
    Coaching a terrible children's basketball team, Tom believes Riley's amazing And1 inspired ball-handling skills are just what his squad needs to win its first game, until everyone finds out Riley doesn't know how to shoot or play with teammates.    ",The Boondocks (TV Series 2005–2014),Ballin'
24,Invasion of the Katrinians,tt0373732,tt0903225,2,9,7.7,136.0,2007-12-10,2007,"
    Granddad's cousin and his family take up residence in the Freeman home after being displaced by Hurricane Katrina.    ",The Boondocks (TV Series 2005–2014),Invasion of the Katrinians
25,Home Alone,tt0373732,tt1175782,2,10,8.2,118.0,2007-12-17,2007,"
    When Grandad goes on vacation, he leave Huey and Riley home with Uncle Ruckus as their chaperone. The boys cause enough havoc to chase Uncle Ruckus away, which leaves Huey in charge... much to Riley's disappointment.    ",The Boondocks (TV Series 2005–2014),Home Alone
26,The S-Word,tt0373732,tt1175783,2,11,8.5,147.0,2008-01-22,2008,"
    Grandad and the good Rev. Rolo Goodlove try to cash in big after a teacher calls Riley ""the n-word"" in school.    ",The Boondocks (TV Series 2005–2014),The S-Word
27,The Story of Catcher Freeman,tt0373732,tt1178722,2,12,8.7,169.0,2008-01-28,2008,"
    Granddad and Uncle Ruckus offer conflicting accounts of a slave revolt led by Huey and Riley's ancestor. Huey reveals that the truth is much different than either of them thought.    ",The Boondocks (TV Series 2005–2014),The Story of Catcher Freeman
28,The Story of Gangstalicious: Part 2,tt0373732,tt1180603,2,13,8.7,156.0,2008-02-04,2008,"
    Despite many obvious clues to the contrary, Riley denies that his favorite rapper, Gangstalicious, is gay.    ",The Boondocks (TV Series 2005–2014),The Story of Gangstalicious: Part 2
29,The Hunger Strike,tt0373732,tt1270335,2,14,8.0,101.0,2008-03-15,2008,"
    Huey goes on a hunger strike in a boycott of BET, and receives some high-profile support from Reverend Rollo Goodlove, who may be more interested in his own self-promotion than any good intentions.    ",The Boondocks (TV Series 2005–2014),The Hunger Strike
30,The Uncle Ruckus Reality Show,tt0373732,tt1338729,2,15,8.5,111.0,2008-03-23,2008,"
    In the wake of Huey's failed protest against the network, BET's Harvard-educated programming chief, Weggie Rudlin, is moving ahead with his promise to create The Uncle Ruckus Reality Show.    ",The Boondocks (TV Series 2005–2014),The Uncle Ruckus Reality Show
31,"It's a Black President, Huey Freeman",tt0373732,tt1635625,3,1,8.9,196.0,2010-05-02,2010,"
    A German documentary follows the Freeman family during the election of the country's first Black President.    ",The Boondocks (TV Series 2005–2014),"It's a Black President, Huey Freeman"
32,Bitches to Rags,tt0373732,tt1650322,3,2,7.9,131.0,2010-05-09,2010,"
    When his new album tanks, Thugnificent is faced with the horror of getting a real job.    ",The Boondocks (TV Series 2005–2014),Bitches to Rags
33,The Red Ball,tt0373732,tt1635626,3,3,8.4,154.0,2010-05-16,2010,"
    Huey leads the residents of Woodcrest in a kickball game against a seemingly unbeatable Chinese team, while the game is secretly being funded and rigged by Ed Wuncler and the Chinese mafia.    ",The Boondocks (TV Series 2005–2014),The Red Ball
34,The Story of Jimmy Rebel,tt0373732,tt1658384,3,4,8.4,108.0,2010-05-23,2010,"
    Ruckus finds his musical soul mate in famed racist country-western singer Jimmy Rebel.    ",The Boondocks (TV Series 2005–2014),The Story of Jimmy Rebel
35,Stinkmeaner 3: The Hateocracy,tt0373732,tt1664938,3,5,8.6,134.0,2010-05-30,2010,"
    Three of Stinkmeaner's old crew arrive in town to exact payback on the Freeman family.    ",The Boondocks (TV Series 2005–2014),Stinkmeaner 3: The Hateocracy
36,Smokin with Cigarettes,tt0373732,tt1664937,3,6,8.3,135.0,2010-06-06,2010,"
    Riley becomes friends with a sociopathic boy named Lamilton, who wants to do nothing more than hurt people, cause mayhem, and smoke cigarettes.    ",The Boondocks (TV Series 2005–2014),Smokin with Cigarettes
37,The Fund-Raiser,tt0373732,tt1664936,3,7,8.9,175.0,2010-06-13,2010,"
    Riley organizes a fund raiser with Cindy McPhearson, Jazmine Dubois and other kids from Woodcrest, but the money isn't going to anyone in need.    ",The Boondocks (TV Series 2005–2014),The Fund-Raiser
38,Pause,tt0373732,tt1679020,3,8,8.2,125.0,2010-06-20,2010,"
    Granddad is cast as the leading man by mega-superstar of stage and screen, Winston Jerome. But when the theatre group turns out to be a homo-erotic evangelical cult, it's up to Huey and Riley to put a pause to it.    ",The Boondocks (TV Series 2005–2014),Pause
39,A Date with the Booty Warrior,tt0373732,tt1682080,3,9,8.8,174.0,2010-06-27,2010,"
    Having conquered his fear of prison rape, Tom volunteers to lead Huey, Riley, and some classmates on a trip to jail as part of a Scared Stiff program. But when a riot breaks out, Tom has to get the kids, and his delicate backside, out of jail in one piece.    ",The Boondocks (TV Series 2005–2014),A Date with the Booty Warrior
40,The Story of Lando Freeman,tt0373732,tt1683780,3,10,8.1,99.0,2010-07-04,2010,"
    There's a new handyman in the neighborhood undercutting Uncle Ruckus... which is all good for Granddad and his garden until the man claims to be his long lost son, Lando. Will Granddad take responsibility and be a father to his son? Not without a talk show paternity test.    ",The Boondocks (TV Series 2005–2014),The Story of Lando Freeman
41,Lovely Ebony Brown,tt0373732,tt1690863,3,11,8.1,109.0,2010-07-11,2010,"
    Granddad meets a young black woman who asks him out on a date, but the only person who can spoil Granddad's new romance, is Granddad.    ",The Boondocks (TV Series 2005–2014),Lovely Ebony Brown
42,Mr. Medicinal,tt0373732,tt1692766,3,12,8.4,115.0,2010-07-18,2010,"
    After a checkup, a doctor warns Granddad that he could die any day if he doesn't get his stress levels down. Not wanting to become dependent on pills, he decides to take Thugnificent's suggestion... and turns to marijuana.    ",The Boondocks (TV Series 2005–2014),Mr. Medicinal
43,The Fried Chicken Flu,tt0373732,tt1701877,3,13,8.4,119.0,2010-08-01,2010,"
    When a fast food promotion crosses with a plague of biblical proportions, society spins out of controls faster than you can say ""white meat only."" Will the world end with two sides and a biscuit? Will Huey Freeman's elaborate end-of-the-world survival plan stand up to the ultimate test? Will any of us ever get to eat fried chicken again?    ",The Boondocks (TV Series 2005–2014),The Fried Chicken Flu
44,The Color Ruckus,tt0373732,tt1701878,3,14,8.4,128.0,2010-08-08,2010,"
    Uncle Ruckus must face the truth about his racial origins, when his abusive father and the rest of his family show up in Woodcrest.    ",The Boondocks (TV Series 2005–2014),The Color Ruckus
45,It's Goin' Down,tt0373732,tt1707082,3,15,8.3,116.0,2010-08-15,2010,"
    Legendary anti-terrorist agent Jack Flowers becomes suspicious of Huey when Ed Wuncler III and Gin Rummy plot a terrorist attack in Woodcrest.    ",The Boondocks (TV Series 2005–2014),It's Goin' Down
46,Pretty Boy Flizzy,tt0373732,tt2133929,4,1,7.7,196.0,2014-04-21,2014,"
    Well known and admired R&B singer ""Pretty Boy Flizzy"" helps Tom with his troubled marriage.    ",The Boondocks (TV Series 2005–2014),Pretty Boy Flizzy
47,Good Times,tt0373732,tt3672336,4,2,6.5,119.0,2014-04-28,2014,"
    These are not ""good times"" for Granddad. He owes millions of dollars on his house to Eddie Wuncler (son of Ed Wuncler) who has some unique ideas of how Granddad can pay him back. And with Eddie appearing more like a gangster than a businessman, times are about to get worse.    ",The Boondocks (TV Series 2005–2014),Good Times
