,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,Pilot,2861424,2169080,1,1,8.0,7582.0,2 Dec. 2013,2013,"
    A sociopathic scientist drags his innocent grandson on dangerous inter-dimensional adventures.    ",Rick and Morty (TV Series 2013– ),Pilot
1,Lawnmower Dog,2861424,3333824,1,2,8.5,7642.0,9 Dec. 2013,2013,"
    Rick helps Jerry out with the dog.    ",Rick and Morty (TV Series 2013– ),Lawnmower Dog
2,Anatomy Park,2861424,3333828,1,3,8.3,6923.0,16 Dec. 2013,2013,"
    It's Christmas. Rick shrinks Morty, injecting him into a homeless man to save Anatomy Park. Jerry tries to have a Christmas free of electronic devices, but regrets his decision when his parents introduce him to their new friend.    ",Rick and Morty (TV Series 2013– ),Anatomy Park
3,M. Night Shaym-Aliens!,2861424,3333830,1,4,8.5,7026.0,13 Jan. 2014,2014,"
    Rick and Morty try to get to the bottom of a mystery.    ",Rick and Morty (TV Series 2013– ),M. Night Shaym-Aliens!
4,Meeseeks and Destroy,2861424,3333832,1,5,8.7,7946.0,20 Jan. 2014,2014,"
    Rick provides the family with a solution to their problems, freeing him up to go on an adventure led by Morty.    ",Rick and Morty (TV Series 2013– ),Meeseeks and Destroy
5,Rick Potion #9,2861424,3333834,1,6,8.8,7786.0,27 Jan. 2014,2014,"
    After Rick gives Morty a love potion for prom, things quickly spiral out of control when the serum splices with the flu - causing it to spread. Rick and Morty scramble to cure the crisis, making matters worse in the process.    ",Rick and Morty (TV Series 2013– ),Rick Potion #9
6,Raising Gazorpazorp,2861424,3333836,1,7,8.0,6385.0,10 Mar. 2014,2014,"
    Morty becomes a father to an alien baby, while Rick and Summer get trapped in a dangerous dimension.    ",Rick and Morty (TV Series 2013– ),Raising Gazorpazorp
7,Rixty Minutes,2861424,3333838,1,8,8.5,7338.0,17 Mar. 2014,2014,"
    Rick hooks up the family's TV with interdimensional cable, allowing them to watch infinite TV from across the multiverse.    ",Rick and Morty (TV Series 2013– ),Rixty Minutes
8,Something Ricked This Way Comes,2861424,3333840,1,9,8.3,6348.0,24 Mar. 2014,2014,"
    Summer gets a job at a pawn shop owned by the devil. Jerry helps Morty with his science fair project.    ",Rick and Morty (TV Series 2013– ),Something Ricked This Way Comes
9,Close Rick-counters of the Rick Kind,2861424,3333846,1,10,9.0,8131.0,7 Apr. 2014,2014,"
    Rick, falsely blamed for Murder by the council of Ricks, begins a cross-dimensional pursuit with the authorities while attempting to prove his innocence.    ",Rick and Morty (TV Series 2013– ),Close Rick-counters of the Rick Kind
10,Ricksy Business,2861424,3333854,1,11,8.3,6142.0,14 Apr. 2014,2014,"
    Beth and Jerry head for an iceberg of a date leaving Rick in charge. Morty doesn't get to go on any more adventures if the house isn't in the same condition when they get back.    ",Rick and Morty (TV Series 2013– ),Ricksy Business
11,A Rickle in Time,2861424,4462494,2,1,8.5,7019.0,26 Jul. 2015,2015,"
    Having restarted time, Rick, Morty and Summer are in a quantum-uncertain state of existence. An argument leads to the creation of two alternate timelines, which need to be stitched back together fast if they are to escape quantum collapse.    ",Rick and Morty (TV Series 2013– ),A Rickle in Time
12,Mortynight Run,2861424,4832254,2,2,8.6,6767.0,2 Aug. 2015,2015,"
    Rick and Morty try to save a gas life form while Jerry resides in a daycare made for Jerrys.    ",Rick and Morty (TV Series 2013– ),Mortynight Run
13,Auto Erotic Assimilation,2861424,4832260,2,3,8.3,6547.0,9 Aug. 2015,2015,"
    Rick gets emotional. Beth and Jerry get into a fight.    ",Rick and Morty (TV Series 2013– ),Auto Erotic Assimilation
14,Total Rickall,2861424,4832262,2,4,9.3,9816.0,16 Aug. 2015,2015,"
    The Smith house is locked down after parasites threaten to take over the world by multiplying through flashbacks.    ",Rick and Morty (TV Series 2013– ),Total Rickall
