,title,series_id,episode_id,season,episode,rating,votes,original_air_date,year,plot,series_title,episode_title
0,The Terrible Secret of Turtle Bay,tt0417373,tt0739360,1,0,7.3,251,2003-02-16,2003,"
    Dr. Venture, his teen sons Hank and Dean, and their bodyguard Brock head to New York to unveil Dr. Venture's new invention. They are pursued by a ninja intent on acquiring the device.    ",The Venture Bros.,The Terrible Secret of Turtle Bay
1,Dia de los Dangerous,tt0417373,tt0739350,1,1,7.9,276,2004-08-07,2004,"
    Dr. Venture and family are in Mexico where the boys get kidnapped by the Monarch's Henchmen. Brock goes on a rampage to get them back and Dr. Venture loses both his kidneys and wakes up in a bathtub of ice.    ",The Venture Bros.,Dia de los Dangerous
2,Careers in Science,tt0417373,tt0739349,1,2,7.6,244,2004-08-14,2004,"
    Dubbed the Ninth Wonder of the World, Jonas Venture's space station, Gargantua 1, has developed a problem, and it's up to Dr. Thaddeus Venture to fix his father's creation. But could the station be haunted by vengeful ghost?    ",The Venture Bros.,Careers in Science
3,Home Insecurity,tt0417373,tt0739353,1,3,8.0,219,2004-08-21,2004,"
    Brock goes on a wilderness retreat, and gets more than he bargained for when he encounters the Army searching for something. Meanwhile, the Venture family retreats to the panic room when the forces of both The Monarch and Baron Ünderbheit attack.    ",The Venture Bros.,Home Insecurity
4,The Incredible Mr. Brisby,tt0417373,tt0739359,1,4,7.8,217,2004-08-28,2004,"
    Dr. Venture takes the X1 to ""Brisbyland"" for a meeting with the theme park owner Roy Brisby. But the boys get kidnapped by the ""Orange County Liberation Front"" and Brock and his former lover and secret agent Molotov Cocktease mount a rescue.    ",The Venture Bros.,The Incredible Mr. Brisby
5,"Eeney, Meeney, Miney... Magic!",tt0417373,tt0739351,1,5,8.0,213,2004-09-04,2004,"
    The boys discover a dangerous pod in the lab that projects your fantasies, thus trapping you inside. Dr. Byron Orpheus is introduced as well as his daughter, Trianna, whom Dean becomes enamored with immediately.    ",The Venture Bros.,"Eeney, Meeney, Miney... Magic!"
6,Ghosts of the Sargasso,tt0417373,tt0739352,1,6,8.7,241,2004-09-11,2004,"
    Dr. Venture and family encounter Ghost Pirates while trying to recover an old crashed aircraft made by Dr. Jonas Venture decades earlier.    ",The Venture Bros.,Ghosts of the Sargasso
7,Ice Station Impossible,tt0417373,tt0739354,1,7,8.3,207,2004-09-18,2004,"
    Pete White, Master Billy Quizboy, and Dr. Venture are recruited by their old college professor, Dr. Richard Impossible, to work for him doing super-science at his remote arctic lab. But when Hank is infected by one of Dr. Impossible's old serums, Brock must race to locate the lab and save Hank's life.    ",The Venture Bros.,Ice Station Impossible
8,Mid-Life Chrysalis,tt0417373,tt0739355,1,8,7.9,202,2004-09-25,2004,"
    While trying to re-live his younger days with ""the ladies"", Dr. Venture is seduced by Dr. Girlfriend in disguise as part of a Monarch evil plan. Brock learns he has to renew his license to kill.    ",The Venture Bros.,Mid-Life Chrysalis
9,"Are You There God, It's Me, Dean",tt0417373,tt0739348,1,9,8.2,208,2004-10-02,2004,"
    While Brock and Hank are held hostage by The Monarch, Master Billy Quiz-Boy and Pete White are called in to help diagnose a mysterious painful illness afflicting Dean.    ",The Venture Bros.,"Are You There God, It's Me, Dean"
10,Tag-Sale: You're It!,tt0417373,tt0739358,1,10,8.3,224,2004-10-09,2004,"
    To raise much-needed cash, Dr. Venture holds a yard sale for his father's old, unwanted super-science equipment and inventions. Brock and other agents from the Office of Secret Intelligence maintain security as many of Venture's arch-nemeses attend, but The Monarch has other plans.    ",The Venture Bros.,Tag-Sale: You're It!
11,Past Tense,tt0417373,tt0739356,1,11,8.4,200,2004-10-16,2004,"
    Hank and Dean learn about Brock and Dr. Venture's early days as they attend a funeral for Mike Sorayama, an old college buddy they used to tease. But the funeral proves to be a ruse by Sorayama to exact revenge for their torment.    ",The Venture Bros.,Past Tense
12,The Trial of the Monarch,tt0417373,tt0739361,1,12,8.4,202,2004-10-23,2004,"
    The Monarch finds himself on trial for a murder, but it soon becomes clear that the ""Guild of Calamitous Intent"" may be behind the whole thing.    ",The Venture Bros.,The Trial of the Monarch
13,Return to Spider-Skull Island,tt0417373,tt0739357,1,13,8.5,199,2004-10-30,2004,"
    While Hank and Dean run away from home to seek their independence, an old enemy of Dr. Venture's, long thought destroyed, returns seeking vengeance.    ",The Venture Bros.,Return to Spider-Skull Island
14,A Very Venture Christmas,tt0417373,tt0739347,1,14,8.0,159,2004-12-19,2004,"
    It's Christmas and the Ventures are having their annual party. But the festivities are interrupted by the Dean who accidentally summons a Christmas demon, and the Monarch who plans to blow up the Venture home.    ",The Venture Bros.,A Very Venture Christmas
15,Powerless in the Face of Death,tt0417373,tt0822288,2,1,8.8,208,2006-06-25,2006,"
    Life goes on after the tragic deaths of Hank and Dean. Meanwhile, the Monarch deals with life ""inside"" but you can't keep a good criminal mastermind down. But will King Gorilla prove to be his greatest ally, or his worst betrayer?    ",The Venture Bros.,Powerless in the Face of Death
16,Hate Floats,tt0417373,tt0822287,2,2,8.5,189,2006-07-02,2006,"
    The Monarch has escaped from prison, and the Henchmen re-assemble to serve him. Dr. Venture takes Dean to a shopping mall and the family gets ambushed by the Monarch who was there attempting to win back Dr. Girlfriend.    ",The Venture Bros.,Hate Floats
17,Assassinanny 911,tt0417373,tt0822286,2,3,8.4,193,2006-07-09,2006,"
    Molotov Cocktease fills in at the Venture compound as Brock goes on a mission to terminate a rogue agent. While Molotov tries to beat some masculinity into Dr. Venture and his sons, we learn something of Brock's past through flashbacks.    ",The Venture Bros.,Assassinanny 911
18,Escape to the House of Mummies Part II,tt0417373,tt0825198,2,4,8.4,194,2006-07-16,2006,"
    Team Venture find themselves trapped in the clutches of a bloodthirsty Egyptian cult and their time machine. Dr. Venture narrowly escapes and teams up with Master Billy Quizboy and Pete White, but promptly forgets to mount a rescue. So it's up to Brock and a pantheon of history's greatest men to find another way out.    ",The Venture Bros.,Escape to the House of Mummies Part II
19,Twenty Years to Midnight,tt0417373,tt0833403,2,5,8.8,207,2006-08-06,2006,"
    While a mysterious extra-terrestrial Inquisitor evaluates human culture, Dr. Venture discovers an old video recording from his father informing him he must, before tomorrow night, locate and assemble the hidden pieces to a device that will save the Earth from certain doom.    ",The Venture Bros.,Twenty Years to Midnight
20,Victor. Echo. November.,tt0417373,tt0843050,2,6,8.8,203,2006-08-13,2006,"
    Hilarity ensues when the Phantom Limb and Dr. Girlfriend try to patch up their differences with the Monarch by going on a double-date with him and his Internet date.    ",The Venture Bros.,Victor. Echo. November.
21,Love-Bheits,tt0417373,tt0839676,2,7,8.1,174,2006-08-20,2006,"
    Baron Underbheit returns as the Venture Bros jet crashes in Underland. The Baron seeks revenge on Dr. Venture and attempts to marry Dean, who is dressed in a Princess Leia slave girl costume when they are captured.    ",The Venture Bros.,Love-Bheits
